id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
1b9ab6cc-8206-4be2-8cf6-ecb25fed4c4b,Deafult project name,no experiment description,,2024-04-18 11:07:59,5.254277229309082,1.2279480649416049e-08,7.681711548297145e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
b2bc1c7c-385f-49a1-aeca-6caa968523c0,Deafult project name,no experiment description,,2024-04-26 11:08:49,3.3089725971221924,6.572866244975254e-09,4.111807655467904e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
cd125d8f-21b3-4b4f-bfe3-f47f86c65834,Deafult project name,no experiment description,,2024-04-26 11:08:54,2.938791990280152,5.394155826555409e-09,3.374438242885746e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
64d0b316-c07c-44e1-bc77-32619418ca80,Deafult project name,no experiment description,,2024-04-26 11:08:59,3.09208083152771,7.885480891282221e-09,4.932943937602092e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
9b972b89-c53d-4054-806f-e81efdce07b3,Deafult project name,no experiment description,,2024-04-26 11:09:03,2.609290361404419,6.357858147462052e-09,3.977304394882278e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
3742b9cb-ffb2-4289-a14c-b692821b8cd5,Deafult project name,no experiment description,,2024-05-06 10:56:37,4.496638059616089,8.571396307009611e-09,5.3620341019649225e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
fa5485cc-3af3-40fd-94a5-a5ecf459a5de,Deafult project name,no experiment description,,2024-05-06 10:56:47,3.815138816833496,5.28743679467425e-09,3.307677697954754e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
9d5a43aa-910a-4c52-89f1-111dcda69228,Deafult project name,no experiment description,,2024-05-06 10:56:48,4.773180723190308,9.351684497005406e-09,5.8501613258451635e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
c8c3af38-6554-48b2-bf70-d1a7f13a0b0f,Deafult project name,no experiment description,,2024-05-06 10:56:57,3.829336643218994,8.769383761084746e-09,5.4858897075730675e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
49bcd3b5-9ecd-412e-a43d-64754a07f76d,Deafult project name,no experiment description,,2024-09-14 15:46:43,3.838895082473755,1.0914866786890798e-08,6.828045960475637e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
dfbfe7e7-7df6-4901-a0f2-ddc981c2da11,Deafult project name,no experiment description,,2024-09-14 15:46:53,4.340343236923218,1.0461045338464222e-08,6.544147515519079e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
32318dcb-7a76-4c42-bb28-1035f3ca7d29,Deafult project name,no experiment description,,2024-09-14 15:46:55,3.744096755981445,6.066838209335401e-09,3.795250179128574e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
2c2ac5a4-b109-4657-80b5-8edfd294d1ba,Deafult project name,no experiment description,N/A,2024-09-14 15:47:05,4.527931213378906,1.1187906383320228e-08,6.998852159932784e-09,"11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz/1 device(s), TDP:28.0", 0 device(s),Windows,IN/Tamil Nadu,0
